baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	TAIR	SYMBOL	GENENAME
232.336188205165	-1.72444126887544	0.197209818719594	-8.74419580156584	2.24609654580068e-18	4.61460535334749e-14	AT1G04180	YUC9; YUCCA9	NA
5581.17322465189	-2.98604888635343	0.39852329151113	-7.49278385971083	6.74278911716879e-14	6.92653012061164e-10	AT4G39400	ATBRI1; BIN1; BRI1; CBB2; DWF2	Encodes a plasma membrane localized leucine-rich repeat receptor kinase involved in brassinosteroid signal transduction. BRI1 ligand is brassinolide which binds at the extracellular domain. Binding results in phosphorylation of the kinase domain which activates the BRI1 protein leading to BR responses. Residue T-1049 and either S-1044 or T-1045 were essential for kinase function in vitro and normal BRI1 signaling in planta. Although BAK1 and BRI1 alone localize in the plasma membrane, when BAK1 and BRI1 are coexpressed, the heterodimer BAK1/BRI1 they form is localized in the endosome. BRI1 appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through its effects on FLC expression levels, as uncovered by double mutant analyses. This most likely occurs as a result of BRI1-dependent effects on histone acetylation, but not histone triMeH3K4 methylation, at the FLC locus.
333.653553589733	2.04698210819202	0.296799306608867	6.89685609976712	5.31659874475204e-12	2.73073803027327e-08	AT1G56600	AtGolS2; GolS2	NA
167.721138525063	-2.54543998303942	0.384785655358979	-6.61521537403648	3.71011182388836e-11	1.27040412369644e-07	AT5G66985	HUP44	NA
390.732239594877	-2.70940826566846	0.436002256286823	-6.21420698310811	5.15844952782468e-10	1.51400493641654e-06	AT1G14960	NA	NA
348.69455308774	1.74668743756508	0.286409149859419	6.09857414968213	1.07018752859628e-09	2.74837534687631e-06	AT1G77380	AAP3; ATAAP3	Amino acid permease which transports basic amino acids.
342.966569300715	-1.0259510636015	0.179223580190013	-5.72442009312493	1.03787642769986e-08	2.13231712070936e-05	AT1G72470	ATEXO70D1; EXO70D1	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.
563.465619764014	-1.19358562700619	0.212397224840463	-5.6195914419443	1.91409551344129e-08	3.57500839305921e-05	AT1G69810	ATWRKY36; WRKY36	member of WRKY Transcription Factor; Group II-b
196.39458751584	1.99115016290122	0.36254764776876	5.49210614151112	3.97168562243046e-08	6.79985675940282e-05	AT2G36640	ATECP63; ECP63	Encodes putative phosphotyrosine protein belonging to late embryogenesis abundant (LEA) protein in group 3 that might be involved in maturation and desiccation tolerance of seeds. RFLP and CAPS mapping place it on chromosome 4 but the nucleotide sequence maps it to chromosome 2.
674.16801091772	2.06978503389309	0.382400121961474	5.41261604017379	6.21105785354223e-08	9.81586027700193e-05	AT2G44130	KFB39; KMD3	NA
858.001971567585	-2.09861229382896	0.392113444104485	-5.35205391547288	8.6961478228251e-08	0.000119108238013294	AT3G27170	ATCLC-B; CLC-B	member of Anion channel protein family
765.751847449551	-1.00096049712863	0.197013953084304	-5.08065789990172	3.76129942688753e-07	0.000406715245923181	AT3G11340	UGT76B1	NA
37.6614419316166	-2.82755926578352	0.559882251063971	-5.05027487549422	4.41174766997062e-07	0.000431615980378792	AT2G44340	VQ18	NA
597.041138589848	-1.6049516467354	0.317705265048748	-5.05169987185808	4.37895388844413e-07	0.000431615980378792	AT4G11210	NA	NA
2082.67263792145	2.44781364481874	0.490266605502666	4.99282149211247	5.95035495919727e-07	0.000531521924507425	AT5G28510	BGLU24	NA
105.185632405394	2.49406633150789	0.50618242186517	4.92720849988786	8.34127318676121e-07	0.000685485830488036	AT5G09640	SCPL19; SNG2	encodes a serine carboxypeptidase-like (SCPL) protein. Mutants accumulate sinapoylglucose instead of sinapoylcholine, and have increased levels of choline and decreased activity of the enzyme sinapoylglucose:choline sinapoyltransferase.
167.457129538503	-1.24700444964257	0.252901522586474	-4.93079059741993	8.18974873508508e-07	0.000685485830488036	AT4G01720	AtWRKY47; WRKY47	member of WRKY Transcription Factor; Group II-b
358.007196162835	-1.58180374786453	0.322312674451765	-4.90766846372109	9.21654802433966e-07	0.000700051836141096	AT1G72300	PSY1R	Encodes a leucine-rich repeat receptor kinase (LRR-RK) involved in the perception of PSY1.  PSY1 is an 18-aa tyrosine-sulfated glycopeptide encoded by AT5G58650 that promotes cellular proliferation and expansion.
384.904732917477	-1.56864995721748	0.321483882161098	-4.87940467395317	1.06406537428783e-06	0.000753835279818738	AT5G42500	NA	NA
358.764036553023	-1.44642788019455	0.297777025120422	-4.85741933787408	1.18925559095949e-06	0.000814441870542093	AT1G70890	MLP43	NA
156.834446469647	-2.00945325466858	0.425836218150547	-4.71884064581413	2.37192525106164e-06	0.00147670316009277	AT4G01140	NA	NA
2185.74779072056	-1.036786264475	0.221107223084741	-4.68906555837682	2.74455456936125e-06	0.00165843745963315	AT1G29050	TBL38	Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).
339.627813821723	-1.61168250916166	0.344862326052216	-4.67340845145735	2.96241786869151e-06	0.0017168787745934	AT5G36180	scpl1	NA
312.960490658264	2.42051842957844	0.518285073926508	4.67024529809566	3.00840281749147e-06	0.0017168787745934	AT5G52400	CYP715A1	member of CYP715A
189.940172279196	-1.16748300896808	0.250573595757249	-4.65924195021378	3.17375985010405e-06	0.00176229448974021	AT5G48290	NA	NA
81.780270703573	-1.52068850855787	0.328768870535472	-4.62540296494951	3.73870809834382e-06	0.00202136204948615	AT2G35910	ATL70	NA
196.974385003388	2.57297330752297	0.560599355237301	4.58968295893568	4.43919748827925e-06	0.00228048395935123	AT2G20350	NA	encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.
92.7176394738167	-2.53455956374412	0.560660100995043	-4.52067047261943	6.1644081218057e-06	0.0029704979620813	AT5G20710	BGAL7	NA
1502.5640695453	-1.34409110888543	0.297497155360752	-4.51799650741382	6.24275137560612e-06	0.0029704979620813	AT5G24030	SLAH3	Encodes a protein with ten predicted transmembrane helices. The SLAH3 protein has similarity to the SLAC1 protein involved in ion homeostasis in guard cells. Although it is not expressed in guard cells, it can complement an slac1-2 mutant suggesting that it performs a similar function. SLAH3:GFP localizes to the plasma membrane.
322.177163549674	-1.64996424146849	0.3655218564972	-4.51399611853616	6.36173815193854e-06	0.0029704979620813	AT2G25150	NA	NA
5789.20480415057	-1.38879120045859	0.308297105634346	-4.50471695996315	6.64614655403251e-06	0.00303433513227995	AT4G15390	NA	NA
634.36457325358	-1.00315655566098	0.223375162609205	-4.49090464644007	7.09212986498325e-06	0.00310540847580935	AT5G05790	NA	NA
111.132774681856	2.82992118569744	0.630195511489299	4.49054481363993	7.10412257790408e-06	0.00310540847580935	AT4G23220	CRK14	Encodes a cysteine-rich receptor-like protein kinase.
1480.69276143264	1.12814765520209	0.252876096945442	4.46126648121072	8.14766979419947e-06	0.00338305147867283	AT3G12580	ATHSP70; HSC70-4; HSP70; HSP70-4	NA
514.648852592994	1.7784453004215	0.398588998575619	4.46185245146472	8.12541679515209e-06	0.00338305147867283	AT4G17250	NA	NA
93.6598900869438	-1.71456459678125	0.389202397349821	-4.40532897139423	1.05623459878153e-05	0.00417314227537818	AT1G28660	GGL2; GGL4	NA
165.686150346243	-1.8365609541852	0.417647940961943	-4.39739017976518	1.0956028772074e-05	0.0042470115306087	AT4G23550	ATWRKY29; WRKY29	Encodes WRKY DNA-binding protein 29 (WRKY29).
635.247822502446	-1.22803934235111	0.280692101127188	-4.37504061361049	1.21409871422628e-05	0.00461547314509451	AT5G43350	ATPT1; PHT1;1; PT1	Encodes an inorganic phosphate transporter Pht1;1.  Mutants display enhanced arsenic accumulation.  Members of the Pht1 family of phosphate transporters include: Pht1;1/At5g43350, Pht1;2/At5g43370, Pht1;3/At5g43360, Pht1;4/At2g38940, Pht1;5/At2g32830, Pht1;6/At5g43340, Pht1;7/At3g54700, Pht1;8/At1g20860, Pht1;9/At1g76430 (Plant Journal 2002, 31:341).
252.891222703855	-1.35719708816369	0.311369673891166	-4.35879663938651	1.30779566524803e-05	0.00479797534687872	AT5G04960	PME46; PMEI-PME46	NA
449.637723018255	1.14984778400462	0.265899693823369	4.32436670938191	1.52970658813554e-05	0.00551365295670957	AT1G63720	NA	NA
157.787875812932	-1.39804306627639	0.32418228015069	-4.31252154074101	1.6140315165821e-05	0.00571728922554814	AT4G28890	ATL42	NA
14098.845322861	1.1213419588549	0.26055558216275	4.30365739834536	1.68001393738448e-05	0.00585015022772273	AT3G50970	LTI30; XERO2	Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments.  LTI29 and LTI30 double overexpressors confer freeze tolerance. Located in membranes. mRNA upregulated by water deprivation and abscisic acid.
1141.46390633192	1.52708955133207	0.357747721124942	4.26862132491052	1.9668483982651e-05	0.0066244098921896	AT4G10310	ATHKT1; HKT1; HKT1;1	encodes a sodium transporter (HKT1) expressed in xylem parenchyma cells. Mutants over-accumulate sodium in shoot tissue and have increased sodium in the xylem sap and reduced sodium in phloem sap and roots.
809.864298544756	-1.22616087305977	0.288468950071683	-4.25058181393551	2.13215934117354e-05	0.00665776686554831	AT1G70690	HWI1; PDLP5	Encodes a plasmodesmal protein that may be involved in the intercellular movement of molecules through the plasmodesmata. The protein has two DUF26 domains and a single transmembrane domain.
15099.736571663	1.82568231002151	0.429924580553514	4.24651762797793	2.17118705277068e-05	0.00665776686554831	AT1G78280	JMJ21	NA
5238.20225117398	1.66389571460326	0.391268507415273	4.25256743916087	2.11333544088212e-05	0.00665776686554831	AT5G63770	ATDGK2; DGK2	a member of the diacylglycerol kinase gene family. Encodes a functional diacylglycerol kinase. Involved in root elongation and plant development. Gene expression is induced by wounding or cold.
5401.572186785	1.59257235202094	0.374893561421997	4.24806536015238	2.15624493320425e-05	0.00665776686554831	AT4G01090	NA	NA
37.7135635186243	-2.49712806100537	0.589230151286187	-4.23795023990978	2.2556974547914e-05	0.00681519179539548	AT4G01680	AtMYB55; MYB55	Encodes a putative transcription factor (MYB55).
7724.57041979662	2.21404146389508	0.525158197727726	4.21595144753501	2.48727274283969e-05	0.00719732654952697	AT1G17420	ATLOX3; LOX3	Lipoxygenase
151.78705371066	-1.21600938788874	0.288426509034548	-4.21601118412829	2.48661433163157e-05	0.00719732654952697	AT5G02350	NA	NA
717.080771870753	-1.08867639815058	0.258839987377099	-4.20598227183697	2.59950611182819e-05	0.00731600726952195	AT1G09090	ATRBOHB; ATRBOHB-BETA; RBOHB	NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB- mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds.
40.4019461119023	-1.88752530766593	0.448769477584942	-4.20600197193373	2.59927965081669e-05	0.00731600726952195	AT5G14340	AtMYB40; MYB40	Member of the R2R3 factor gene family.
539.052112157701	-1.14338710104547	0.272498993825245	-4.19593146013128	2.71752424546834e-05	0.00744407118700766	AT1G72430	SAUR78	NA
112.752883723641	2.57289296233075	0.61411650580223	4.18958444858885	2.7946576452588e-05	0.00745665471712235	AT2G44070	NA	NA
385.229695009188	1.94512669123876	0.467396981517453	4.16161586008473	3.16003601414144e-05	0.00811536748881699	AT1G56060	AthCYSTM3	NA
95.1228004382517	-1.47938200481162	0.359195585163006	-4.1185974046431	3.81185441552871e-05	0.0094354878273539	AT5G27100	ATGLR2.1; GLR2.1	member of Putative ligand-gated ion channel subunit family
195.136454117715	1.77396540582496	0.430703494672786	4.11876250777272	3.80912472875628e-05	0.0094354878273539	AT3G14560	NA	NA
