"cluster","denyer_cluster_1","denyer_cluster_2","denyer_identity_1","denyer_identity_2","n_overlap_1","n_overlap_2","jaccard_1","jaccard_2","jaccard_gap","overlap_gap"
"0","1","0","Mature","Mature",9,5,0.0471204188481675,0.0256410256410256,0.0214793932071419,4
"1","10","5","Trichoblast","Trichoblast",37,4,0.226993865030675,0.0204081632653061,0.206585701765369,33
"2","3","1","Atrichoblast","Mature",29,3,0.169590643274854,0.0152284263959391,0.154362216878915,26
"3","2","11","Meristerm","QC/Colummela",16,1,0.0869565217391304,0.0050251256281407,0.0819313961109897,15
"4","6","11","Meristem","QC/Colummela",28,9,0.162790697674419,0.0471204188481675,0.115670278826251,19
"5","7","2","Meristem","Meristerm",14,10,0.0752688172043011,0.0526315789473684,0.0226372382569327,4
"6","4","0","Stele","Mature",22,0,0.123595505617978,0,0.123595505617978,22
"7","8","1","Meristem","Mature",35,8,0.212121212121212,0.0416666666666667,0.170454545454545,27
"8","12","4","Xylem","Stele",34,4,0.204819277108434,0.0204081632653061,0.184411113843128,30
"9","13","9","Endodermis","Cortex",38,10,0.234567901234568,0.0526315789473684,0.181936322287199,28
"10","11","6","QC/Colummela","Meristem",51,9,0.342281879194631,0.0471204188481675,0.295161460346463,42
"11","9","13","Cortex","Endodermis",33,14,0.197604790419162,0.0752688172043011,0.122335973214861,19
"12","1","14","Mature","Mature",6,1,0.0309278350515464,0.0050251256281407,0.0259027094234057,5
"13","14","0","Mature","Mature",28,1,0.162790697674419,0.0050251256281407,0.157765572046278,27
