"cluster","identity","Freq"
"0","Atrichoblast",0
"1","Atrichoblast",0
"2","Atrichoblast",476
"3","Atrichoblast",0
"4","Atrichoblast",0
"5","Atrichoblast",0
"6","Atrichoblast",0
"7","Atrichoblast",0
"8","Atrichoblast",0
"9","Atrichoblast",0
"10","Atrichoblast",0
"11","Atrichoblast",0
"12","Atrichoblast",0
"13","Atrichoblast",0
"0","Cortex",0
"1","Cortex",0
"2","Cortex",0
"3","Cortex",0
"4","Cortex",0
"5","Cortex",0
"6","Cortex",0
"7","Cortex",0
"8","Cortex",0
"9","Cortex",0
"10","Cortex",0
"11","Cortex",148
"12","Cortex",0
"13","Cortex",0
"0","Endodermis",0
"1","Endodermis",0
"2","Endodermis",0
"3","Endodermis",0
"4","Endodermis",0
"5","Endodermis",0
"6","Endodermis",0
"7","Endodermis",0
"8","Endodermis",0
"9","Endodermis",176
"10","Endodermis",0
"11","Endodermis",0
"12","Endodermis",0
"13","Endodermis",0
"0","Mature",0
"1","Mature",0
"2","Mature",0
"3","Mature",0
"4","Mature",0
"5","Mature",0
"6","Mature",0
"7","Mature",0
"8","Mature",0
"9","Mature",0
"10","Mature",0
"11","Mature",0
"12","Mature",0
"13","Mature",81
"0","Mature-like",914
"1","Mature-like",0
"2","Mature-like",0
"3","Mature-like",0
"4","Mature-like",0
"5","Mature-like",0
"6","Mature-like",0
"7","Mature-like",0
"8","Mature-like",0
"9","Mature-like",0
"10","Mature-like",0
"11","Mature-like",0
"12","Mature-like",127
"13","Mature-like",0
"0","Meristem",0
"1","Meristem",0
"2","Meristem",0
"3","Meristem",0
"4","Meristem",432
"5","Meristem",0
"6","Meristem",0
"7","Meristem",283
"8","Meristem",0
"9","Meristem",0
"10","Meristem",0
"11","Meristem",0
"12","Meristem",0
"13","Meristem",0
"0","Meristem-like",0
"1","Meristem-like",0
"2","Meristem-like",0
"3","Meristem-like",466
"4","Meristem-like",0
"5","Meristem-like",348
"6","Meristem-like",0
"7","Meristem-like",0
"8","Meristem-like",0
"9","Meristem-like",0
"10","Meristem-like",0
"11","Meristem-like",0
"12","Meristem-like",0
"13","Meristem-like",0
"0","QC/Columella",0
"1","QC/Columella",0
"2","QC/Columella",0
"3","QC/Columella",0
"4","QC/Columella",0
"5","QC/Columella",0
"6","QC/Columella",0
"7","QC/Columella",0
"8","QC/Columella",0
"9","QC/Columella",0
"10","QC/Columella",162
"11","QC/Columella",0
"12","QC/Columella",0
"13","QC/Columella",0
"0","Stele",0
"1","Stele",0
"2","Stele",0
"3","Stele",0
"4","Stele",0
"5","Stele",0
"6","Stele",334
"7","Stele",0
"8","Stele",0
"9","Stele",0
"10","Stele",0
"11","Stele",0
"12","Stele",0
"13","Stele",0
"0","Trichoblast",0
"1","Trichoblast",520
"2","Trichoblast",0
"3","Trichoblast",0
"4","Trichoblast",0
"5","Trichoblast",0
"6","Trichoblast",0
"7","Trichoblast",0
"8","Trichoblast",0
"9","Trichoblast",0
"10","Trichoblast",0
"11","Trichoblast",0
"12","Trichoblast",0
"13","Trichoblast",0
"0","Xylem",0
"1","Xylem",0
"2","Xylem",0
"3","Xylem",0
"4","Xylem",0
"5","Xylem",0
"6","Xylem",0
"7","Xylem",0
"8","Xylem",218
"9","Xylem",0
"10","Xylem",0
"11","Xylem",0
"12","Xylem",0
"13","Xylem",0
