"cluster","denyer_cluster","n_overlap","jaccard","denyer_identity"
"0","0",5,0.0256410256410256,"Mature"
"0","1",9,0.0471204188481675,"Mature"
"0","10",0,0,"Trichoblast"
"0","11",0,0,"QC/Colummela"
"0","12",0,0,"Xylem"
"0","13",0,0,"Endodermis"
"0","14",5,0.0256410256410256,"Mature"
"0","2",0,0,"Meristerm"
"0","3",0,0,"Atrichoblast"
"0","4",0,0,"Stele"
"0","5",0,0,"Trichoblast"
"0","6",1,0.0050251256281407,"Meristem"
"0","7",0,0,"Meristem"
"0","8",0,0,"Meristem"
"0","9",0,0,"Cortex"
"1","0",0,0,"Mature"
"1","1",0,0,"Mature"
"1","10",37,0.226993865030675,"Trichoblast"
"1","11",0,0,"QC/Colummela"
"1","12",0,0,"Xylem"
"1","13",0,0,"Endodermis"
"1","14",0,0,"Mature"
"1","2",0,0,"Meristerm"
"1","3",0,0,"Atrichoblast"
"1","4",0,0,"Stele"
"1","5",4,0.0204081632653061,"Trichoblast"
"1","6",0,0,"Meristem"
"1","7",0,0,"Meristem"
"1","8",0,0,"Meristem"
"1","9",0,0,"Cortex"
"2","0",0,0,"Mature"
"2","1",3,0.0152284263959391,"Mature"
"2","10",1,0.0050251256281407,"Trichoblast"
"2","11",0,0,"QC/Colummela"
"2","12",0,0,"Xylem"
"2","13",0,0,"Endodermis"
"2","14",1,0.0050251256281407,"Mature"
"2","2",0,0,"Meristerm"
"2","3",29,0.169590643274854,"Atrichoblast"
"2","4",0,0,"Stele"
"2","5",3,0.0152284263959391,"Trichoblast"
"2","6",0,0,"Meristem"
"2","7",0,0,"Meristem"
"2","8",1,0.0050251256281407,"Meristem"
"2","9",0,0,"Cortex"
"3","0",0,0,"Mature"
"3","1",0,0,"Mature"
"3","10",0,0,"Trichoblast"
"3","11",1,0.0050251256281407,"QC/Colummela"
"3","12",0,0,"Xylem"
"3","13",0,0,"Endodermis"
"3","14",0,0,"Mature"
"3","2",16,0.0869565217391304,"Meristerm"
"3","3",0,0,"Atrichoblast"
"3","4",0,0,"Stele"
"3","5",0,0,"Trichoblast"
"3","6",0,0,"Meristem"
"3","7",0,0,"Meristem"
"3","8",0,0,"Meristem"
"3","9",0,0,"Cortex"
"4","0",4,0.0204081632653061,"Mature"
"4","1",0,0,"Mature"
"4","10",0,0,"Trichoblast"
"4","11",9,0.0471204188481675,"QC/Colummela"
"4","12",0,0,"Xylem"
"4","13",0,0,"Endodermis"
"4","14",0,0,"Mature"
"4","2",0,0,"Meristerm"
"4","3",0,0,"Atrichoblast"
"4","4",0,0,"Stele"
"4","5",0,0,"Trichoblast"
"4","6",28,0.162790697674419,"Meristem"
"4","7",0,0,"Meristem"
"4","8",0,0,"Meristem"
"4","9",0,0,"Cortex"
"5","0",0,0,"Mature"
"5","1",0,0,"Mature"
"5","10",0,0,"Trichoblast"
"5","11",0,0,"QC/Colummela"
"5","12",0,0,"Xylem"
"5","13",0,0,"Endodermis"
"5","14",0,0,"Mature"
"5","2",10,0.0526315789473684,"Meristerm"
"5","3",0,0,"Atrichoblast"
"5","4",0,0,"Stele"
"5","5",0,0,"Trichoblast"
"5","6",0,0,"Meristem"
"5","7",14,0.0752688172043011,"Meristem"
"5","8",1,0.0050251256281407,"Meristem"
"5","9",0,0,"Cortex"
"6","0",0,0,"Mature"
"6","1",0,0,"Mature"
"6","10",0,0,"Trichoblast"
"6","11",0,0,"QC/Colummela"
"6","12",0,0,"Xylem"
"6","13",0,0,"Endodermis"
"6","14",0,0,"Mature"
"6","2",0,0,"Meristerm"
"6","3",0,0,"Atrichoblast"
"6","4",22,0.123595505617978,"Stele"
"6","5",0,0,"Trichoblast"
"6","6",0,0,"Meristem"
"6","7",0,0,"Meristem"
"6","8",0,0,"Meristem"
"6","9",0,0,"Cortex"
"7","0",0,0,"Mature"
"7","1",8,0.0416666666666667,"Mature"
"7","10",0,0,"Trichoblast"
"7","11",1,0.0050251256281407,"QC/Colummela"
"7","12",0,0,"Xylem"
"7","13",0,0,"Endodermis"
"7","14",0,0,"Mature"
"7","2",0,0,"Meristerm"
"7","3",0,0,"Atrichoblast"
"7","4",0,0,"Stele"
"7","5",0,0,"Trichoblast"
"7","6",0,0,"Meristem"
"7","7",0,0,"Meristem"
"7","8",35,0.212121212121212,"Meristem"
"7","9",0,0,"Cortex"
"8","0",0,0,"Mature"
"8","1",0,0,"Mature"
"8","10",0,0,"Trichoblast"
"8","11",0,0,"QC/Colummela"
"8","12",34,0.204819277108434,"Xylem"
"8","13",0,0,"Endodermis"
"8","14",0,0,"Mature"
"8","2",0,0,"Meristerm"
"8","3",0,0,"Atrichoblast"
"8","4",4,0.0204081632653061,"Stele"
"8","5",0,0,"Trichoblast"
"8","6",0,0,"Meristem"
"8","7",0,0,"Meristem"
"8","8",0,0,"Meristem"
"8","9",0,0,"Cortex"
"9","0",0,0,"Mature"
"9","1",0,0,"Mature"
"9","10",1,0.0050251256281407,"Trichoblast"
"9","11",0,0,"QC/Colummela"
"9","12",0,0,"Xylem"
"9","13",38,0.234567901234568,"Endodermis"
"9","14",0,0,"Mature"
"9","2",0,0,"Meristerm"
"9","3",0,0,"Atrichoblast"
"9","4",3,0.0152284263959391,"Stele"
"9","5",1,0.0050251256281407,"Trichoblast"
"9","6",0,0,"Meristem"
"9","7",0,0,"Meristem"
"9","8",0,0,"Meristem"
"9","9",10,0.0526315789473684,"Cortex"
"10","0",0,0,"Mature"
"10","1",0,0,"Mature"
"10","10",0,0,"Trichoblast"
"10","11",51,0.342281879194631,"QC/Colummela"
"10","12",0,0,"Xylem"
"10","13",0,0,"Endodermis"
"10","14",1,0.0050251256281407,"Mature"
"10","2",2,0.0101010101010101,"Meristerm"
"10","3",0,0,"Atrichoblast"
"10","4",0,0,"Stele"
"10","5",0,0,"Trichoblast"
"10","6",9,0.0471204188481675,"Meristem"
"10","7",0,0,"Meristem"
"10","8",0,0,"Meristem"
"10","9",0,0,"Cortex"
"11","0",0,0,"Mature"
"11","1",0,0,"Mature"
"11","10",0,0,"Trichoblast"
"11","11",0,0,"QC/Colummela"
"11","12",0,0,"Xylem"
"11","13",14,0.0752688172043011,"Endodermis"
"11","14",0,0,"Mature"
"11","2",0,0,"Meristerm"
"11","3",2,0.0101010101010101,"Atrichoblast"
"11","4",0,0,"Stele"
"11","5",0,0,"Trichoblast"
"11","6",0,0,"Meristem"
"11","7",0,0,"Meristem"
"11","8",0,0,"Meristem"
"11","9",33,0.197604790419162,"Cortex"
"12","0",0,0,"Mature"
"12","1",6,0.0309278350515464,"Mature"
"12","10",0,0,"Trichoblast"
"12","11",0,0,"QC/Colummela"
"12","12",0,0,"Xylem"
"12","13",0,0,"Endodermis"
"12","14",1,0.0050251256281407,"Mature"
"12","2",0,0,"Meristerm"
"12","3",0,0,"Atrichoblast"
"12","4",0,0,"Stele"
"12","5",0,0,"Trichoblast"
"12","6",0,0,"Meristem"
"12","7",0,0,"Meristem"
"12","8",0,0,"Meristem"
"12","9",0,0,"Cortex"
"13","0",1,0.0050251256281407,"Mature"
"13","1",0,0,"Mature"
"13","10",0,0,"Trichoblast"
"13","11",0,0,"QC/Colummela"
"13","12",0,0,"Xylem"
"13","13",0,0,"Endodermis"
"13","14",28,0.162790697674419,"Mature"
"13","2",0,0,"Meristerm"
"13","3",0,0,"Atrichoblast"
"13","4",0,0,"Stele"
"13","5",0,0,"Trichoblast"
"13","6",0,0,"Meristem"
"13","7",0,0,"Meristem"
"13","8",0,0,"Meristem"
"13","9",0,0,"Cortex"
