"cluster","denyer_cluster_1","denyer_identity_1","n_overlap_1","jaccard_1","denyer_cluster_2","denyer_identity_2","n_overlap_2","jaccard_2","overlap_gap","jaccard_gap","identity","confidence"
"0","1","Mature",9,0.0471204188481675,"0","Mature",5,0.0256410256410256,4,0.0214793932071419,"Mature-like","Low"
"1","10","Trichoblast",37,0.226993865030675,"5","Trichoblast",4,0.0204081632653061,33,0.206585701765369,"Trichoblast","High"
"2","3","Atrichoblast",29,0.169590643274854,"1","Mature",3,0.0152284263959391,26,0.154362216878915,"Atrichoblast","High"
"3","2","Meristerm",16,0.0869565217391304,"11","QC/Colummela",1,0.0050251256281407,15,0.0819313961109897,"Meristem-like","Moderate"
"4","6","Meristem",28,0.162790697674419,"11","QC/Colummela",9,0.0471204188481675,19,0.115670278826251,"Meristem","High"
"5","7","Meristem",14,0.0752688172043011,"2","Meristerm",10,0.0526315789473684,4,0.0226372382569327,"Meristem-like","Moderate-Low"
"6","4","Stele",22,0.123595505617978,"0","Mature",0,0,22,0.123595505617978,"Stele","Moderate"
"7","8","Meristem",35,0.212121212121212,"1","Mature",8,0.0416666666666667,27,0.170454545454545,"Meristem","High"
"8","12","Xylem",34,0.204819277108434,"4","Stele",4,0.0204081632653061,30,0.184411113843128,"Xylem","High"
"9","13","Endodermis",38,0.234567901234568,"9","Cortex",10,0.0526315789473684,28,0.181936322287199,"Endodermis","High"
"10","11","QC/Colummela",51,0.342281879194631,"6","Meristem",9,0.0471204188481675,42,0.295161460346463,"QC/Columella","High"
"11","9","Cortex",33,0.197604790419162,"13","Endodermis",14,0.0752688172043011,19,0.122335973214861,"Cortex","High"
"12","1","Mature",6,0.0309278350515464,"14","Mature",1,0.0050251256281407,5,0.0259027094234057,"Mature-like","Low"
"13","14","Mature",28,0.162790697674419,"0","Mature",1,0.0050251256281407,27,0.157765572046278,"Mature","High"
