"cluster","top10_markers"
"0","DTX14 (AT1G71140); AER (AT5G16970); ATNRT3.1 (AT5G50200); AT2G38870; ANAC042 (AT2G43000); ATGST11 (AT1G02920); ATBCB (AT5G20230); AT1G74010; MIOX2 (AT2G19800); AT1G21340"
"1","ATPRP3 (AT3G62680); ATHRGP1 (AT3G54590); AGP3 (AT4G40090); AtGH9C1 (AT1G48930); ATEXP18 (AT1G62980); ATEXP7 (AT1G12560); EXT17 (AT3G54580); LRX1 (AT1G12040); UCC3 (AT3G60280); AtPRPL1 (AT5G05500)"
"2","ATXTH17 (AT1G65310); AT3G20360; GGL19 (AT3G16370); ATEXP17 (AT4G01630); AT1G05660; GRI (AT1G53130); AT4G12545; GIR1 (AT5G06270); MLP34 (AT1G70850); AGP30 (AT2G33790)"
"3","AT5G66230; AT5G55520; AtENODL15 (AT4G31840); AT3G51280; AtENODL14 (AT2G25060); AT5G56120; AT3G52110; ATROPGEF6 (AT3G55660); PAKRP2 (AT4G14330); AT2G42110"
"4","AT2G43480; CYCD6;1 (AT4G03270); ANAC009 (AT1G26870); AT4G35030; AT3G57950; TRM10 (AT4G11780); AT1G44180; AT4G18335; anac094 (AT5G39820); TBL11 (AT5G19160)"
"5","TOM7-2 (AT1G64220); RPB5C (AT5G57980); uS12z (AT3G09680); eS8y (AT5G59240); AT3G15357; AtTRM7c (AT5G13830); RNH1C (AT1G24090); AT3G12860; AT3G49320; HDG7 (AT5G52170)"
"6","TET5 (AT4G23410); ATTPPB (AT1G78090); SIAR1 (AT1G44800); NPF2.4 (AT3G45700); ATXTH21 (AT2G18800); AT1G26450; AT3G16330; AT3G11280; PMEI-PME32 (AT3G43270); AT3G21770"
"7","ABAP1 (AT5G13060); PYM (AT2G42260); AT3G14740; CYCA3;2 (AT1G47210); ATBARD1 (AT1G04020); ATTSO2 (AT3G27060); CYCA3;1 (AT5G43080); H3.1 (AT5G10400); CDC45 (AT3G25100); ATRPA70D (AT5G61000)"
"8","GUX1 (AT3G18660); ATFLA11 (AT5G03170); AtFLA12 (AT5G60490); AT1G63520; AT3G10080; XCP1 (AT4G35350); TBL33 (AT2G40320); VRLK1 (AT1G79620); AT2G28410; AT1G14190"
"9","PRX40 (AT4G16270); PBL15 (AT1G61590); ATOCT3 (AT1G16390); LTPG20 (AT3G22620); LTPG5 (AT3G22600); UCC1 (AT2G32300); PER39 (AT4G11290); CASP5 (AT5G15290); PER3 (AT1G05260); AT2G16750"
"10","ERF62 (AT1G13620); AT3G60650; AT3G53040; NTT (AT3G57670); ADF9 (AT4G34970); IAN12 (AT4G09940); AtLAZY2 (AT1G17400); LecRK-S.4 (AT3G55550); GBSS1 (AT1G32900); GLV7 (AT2G04025)"
"11","AT1G62510; AtNPF6.4 (AT3G21670); AT1G09750; NOGC1 (AT1G62580); AT5G18840; ATC/VIF2 (AT5G64620); AT5G38550; ATS3 (AT5G07190); AT5G20670; ELP (AT1G12090)"
"12","ELO1 (AT3G06460); BGLU34 (AT1G47600); BGLU35 (AT1G51470); AtCPT2 (AT2G23400); ATCSLB01 (AT2G32610); ATMLP-300B (AT3G16440); EDA36 (AT4G13890); ADS1.2 (AT1G06090); AtMC9 (AT5G04200); RNS3 (AT1G26820)"
"13","AT3G13433; HRML2 (AT4G14450); AtWRKY41 (AT4G11070); AT1G21326; PER4 (AT1G14540); AT1G14550; PIP1 (AT4G28460); CRK9 (AT4G23170); ATWRKY30 (AT5G24110); AT1G58420"
