"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","SYMBOL"
0,4.9776379391427,0.439,0.031,0,"0","AT1G71140","DTX14"
0,4.70429086704918,0.251,0.083,0,"0","AT5G16970","AER"
0,3.90011944222187,0.752,0.166,0,"0","AT5G50200","ATNRT3.1"
0,3.80480665303775,0.637,0.158,0,"0","AT2G38870",NA
0,3.67800488358636,0.433,0.051,0,"0","AT2G43000","ANAC042"
0,3.54308107501037,0.259,0.04,0,"0","AT1G02920","ATGST11"
0,3.4670837024446,0.853,0.337,0,"0","AT5G20230","ATBCB"
0,3.4107726282077,0.652,0.125,0,"0","AT1G74010",NA
0,3.36915778175257,0.759,0.381,0,"0","AT2G19800","MIOX2"
0,3.34863392735324,0.403,0.055,0,"0","AT1G21340",NA
0,8.03043364824084,0.294,0.038,0,"1","AT3G62680","ATPRP3"
0,7.48058392671661,0.412,0.031,0,"1","AT3G54590","ATHRGP1"
0,7.34265278386998,0.356,0.067,0,"1","AT4G40090","AGP3"
0,7.3203488925508,0.26,0.015,0,"1","AT1G48930","AtGH9C1"
0,7.27731124209275,0.277,0.028,0,"1","AT1G62980","ATEXP18"
0,7.24190567211531,0.315,0.035,0,"1","AT1G12560","ATEXP7"
0,7.20300435709363,0.637,0.074,0,"1","AT3G54580","EXT17"
0,7.00277574228979,0.356,0.012,0,"1","AT1G12040","LRX1"
0,6.96426242812146,0.302,0.013,0,"1","AT3G60280","UCC3"
0,6.90138759227933,0.388,0.072,0,"1","AT5G05500","AtPRPL1"
0,5.2164360099405,0.353,0.061,0,"2","AT1G65310","ATXTH17"
0,5.08894225177576,0.54,0.029,0,"2","AT3G20360",NA
0,5.03052646269631,0.387,0.029,0,"2","AT3G16370","GGL19"
0,4.54656651346804,0.7,0.277,0,"2","AT4G01630","ATEXP17"
0,4.4745090125159,0.628,0.138,0,"2","AT1G05660",NA
0,3.9870729567733,0.254,0.016,0,"2","AT1G53130","GRI"
0,3.83469794800203,0.376,0.212,0,"2","AT4G12545",NA
0,3.71185318610286,0.471,0.06,0,"2","AT5G06270","GIR1"
0,3.64665146706517,0.641,0.265,0,"2","AT1G70850","MLP34"
0,3.64371015782914,0.758,0.196,0,"2","AT2G33790","AGP30"
0,7.55793724108793,0.393,0.008,0,"3","AT5G66230",NA
0,7.42638223995008,0.283,0.003,0,"3","AT5G55520",NA
0,7.31872389526489,0.573,0.04,0,"3","AT4G31840","AtENODL15"
0,7.31291765352549,0.453,0.012,0,"3","AT3G51280",NA
0,7.27242478804385,0.429,0.023,0,"3","AT2G25060","AtENODL14"
0,7.22206800352785,0.29,0.006,0,"3","AT5G56120",NA
0,7.18292248960153,0.277,0.009,0,"3","AT3G52110",NA
0,7.07616511038158,0.279,0.005,0,"3","AT3G55660","ATROPGEF6"
0,7.0678758710344,0.313,0.005,0,"3","AT4G14330","PAKRP2"
0,7.046886544637,0.33,0.01,0,"3","AT2G42110",NA
0,4.21758293764398,0.674,0.082,0,"4","AT2G43480",NA
0,3.65962051142897,0.255,0.031,0,"4","AT4G03270","CYCD6;1"
0,3.22214185987306,0.41,0.043,0,"4","AT1G26870","ANAC009"
0,3.20802429019473,0.377,0.048,0,"4","AT4G35030",NA
0,3.17426531092639,0.602,0.15,0,"4","AT3G57950",NA
0,3.03314118188577,0.701,0.218,0,"4","AT4G11780","TRM10"
0,3.01127545940325,0.468,0.082,0,"4","AT1G44180",NA
0,3.01017655807622,0.333,0.049,0,"4","AT4G18335",NA
0,2.99857127119154,0.331,0.034,0,"4","AT5G39820","anac094"
0,2.99776786990636,0.495,0.107,0,"4","AT5G19160","TBL11"
0,3.70443782791323,0.784,0.089,0,"5","AT1G64220","TOM7-2"
0,3.49016686401289,0.641,0.07,0,"5","AT5G57980","RPB5C"
0,3.42739128123988,0.359,0.04,0,"5","AT3G09680","uS12z"
0,3.34740165112795,0.537,0.063,0,"5","AT5G59240","eS8y"
0,3.1639878227966,0.951,0.196,0,"5","AT3G15357",NA
0,3.06917563907553,0.422,0.048,0,"5","AT5G13830","AtTRM7c"
0,3.0150264399456,0.27,0.029,0,"5","AT1G24090","RNH1C"
0,2.85803708336749,0.744,0.118,0,"5","AT3G12860",NA
0,2.85002079034187,0.466,0.058,0,"5","AT3G49320",NA
