Gene ID	Gene Name	Chromosome	Start	End	Strand	RP1 Readcount	RP1 RPM	RP2 Readcount	RP2 RPM	RU1 Readcount	RU1 RPM	RU2 Readcount	RU2 RPM	Log2 FC	p value	q value
AT5G43650	BHLH92	5	17533130	17534796	-	907	64.874499999999998	835	66.2744	0	0	0	0	13.117286139999999	3.1599999999999999E-19	6.4199999999999997E-18
AT4G33930		4	16264269	16265420	-	1972	141.05000000000001	1932	153.34399999999999	0	0	1	6.2858399999999995E-2	12.84564273	1.4900000000000001E-19	3.1000000000000001E-18
AT1G20310		1	7032070	7033329	+	746	53.358800000000002	618	49.051000000000002	0	0	0	0	12.758894059999999	3.1299999999999999E-18	5.9599999999999997E-17
AT1G17420	LOX3	1	5977323	5981521	+	1952	139.62	1367	108.5	0	0	1	6.2858399999999995E-2	12.593597730000001	8.18E-19	1.62E-17
AT3G28600		3	10722394	10723995	+	400	28.610600000000002	623	49.447899999999997	0	0	0	0	12.37633525	6.3199999999999997E-17	1.1100000000000001E-15
AT5G07310	ERF115	5	2305551	2306837	+	311	22.244700000000002	606	48.098599999999998	0	0	0	0	12.229364090000001	2.3400000000000001E-16	4.0000000000000003E-15
AT4G10250	HSP22.0	4	6370338	6371372	+	285	20.385100000000001	391	31.033899999999999	0	0	0	0	11.77192528	2.0200000000000001E-15	3.1900000000000002E-14
AT1G71000		1	26768792	26770177	-	1068	76.390299999999996	781	61.988399999999999	0	0	1	6.2858399999999995E-2	11.75183644	1.56E-16	2.7000000000000001E-15
AT5G52400	CYP715A1	5	21272824	21275755	+	326	23.317599999999999	283	22.4619	0	0	0	0	11.59797783	4.0700000000000003E-15	6.2600000000000006E-14
AT5G51990	DREB1D	5	21116877	21117860	-	358	25.6065	236	18.7315	0	0	0	0	11.54814784	6.1699999999999997E-15	9.36E-14
AT3G44860	FAMT	3	16379571	16381434	+	5860	419.14499999999998	5767	457.73	4	0.197246	4	0.25143399999999999	11.424758560000001	1.9400000000000001E-95	5.6300000000000004E-93
AT1G73510		1	27642386	27643295	-	293	20.9573	182	14.445399999999999	0	0	0	0	11.22275187	4.4800000000000002E-14	6.4E-13
AT4G34410	ERF109	4	16451876	16453260	+	6418	459.05700000000002	4376	347.32600000000002	1	4.9311500000000001E-2	7	0.44000899999999998	11.21936683	3.8599999999999999E-31	1.4400000000000001E-29
AT5G61890	ERF114	5	24852322	24853941	-	1038	74.244500000000002	1434	113.81699999999999	1	4.9311500000000001E-2	1	6.2858399999999995E-2	11.20945124	2.9199999999999998E-26	8.7700000000000009E-25
